"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73"
883.595333013625,721.959095259721,566.810366519756,612.533422915825,1625.75257137454,1122.30659339442,1900.07720227476,963.911292075383,2123.86431838092,824.119619164238,577.121390997992,471.712836056409,1129.08946127434,731.258144304185,512.905062398168,1418.14545538674,1420.19677736571,1870.07618139597,1999.43154053259,509.783054165149,1307.13240050709,1342.4169025873,1381.92289255375,1326.17941711732,721.355613378822,527.295634924725,1274.56188119871,1544.89800607009,873.854535270657,2075.36959200026,1005.5631756134,617.224037199514,2329.72359081492,950.286611492891,638.102738416172,662.170558887126,2063.32004815945,481.937785020862,956.134867591318,1061.0283712707,1816.90555123266,1410.14399721108,695.689146132107,1062.05229733986,523.702896074508,1214.23928912079,1026.14669500438,1468.16628631335,921.041507839371,830.126605053374,1791.84681400677,955.924295458171,485.760664342124,1878.37463668094,1968.36737466214,1283.04369174497,1734.95365249808,1385.8436974568,1401.0104479419,496.618315360436,1159.54543895024,1620.72933554839,446.814859190337,1377.40611011669,1581.81662860746,706.415005238741,2287.0427511232,1524.95477089312,712.441301330968,1191.46380977408,1220.77923026528,731.875744332006,1520.602800347
857.686742082078,701.110676697906,550.141477176512,594.234064578362,1581.05945077326,1089.93103835167,1846.75294229173,936.891294642992,2066.34047915641,799.738140467656,560.386819891348,457.561658370316,1096.70832208634,710.341956243574,497.345941746113,1378.15758964058,1380.65824811894,1817.45310862444,1943.94932749544,494.262184119354,1270.38651712752,1305.10852833964,1342.66616248987,1289.16776331907,700.294166458902,511.969765532798,1238.30363913663,1501.1222661018,848.340308472296,2018.58136302358,977.289557632612,599.237882110043,2266.58699974581,922.926317352918,619.593195223613,642.617887787856,2006.30410278245,467.242286401699,929.079135894455,1031.26979228032,1765.48427524476,1370.47706734648,675.220336728962,1031.97184266681,508.059027340547,1179.83797893547,997.057570298755,1427.36987232104,894.45516827931,806.375724976097,1742.29570922814,928.987981534432,470.925990175201,1826.0333388756,1913.38457827704,1246.35863972001,1687.55145970089,1347.03490984817,1362.63791023166,481.567802335812,1127.29254886731,1575.08644743099,433.15336774657,1337.88808722586,1538.0213897287,685.461839430369,2225.13437292681,1482.26500368546,691.752764751684,1157.79139970522,1185.63031258777,710.237775922724,1477.81613529491
828.222437059172,677.655384867845,531.513303142594,573.636758754939,1529.8250289975,1052.94677578368,1785.16517812395,906.186611033176,2000.16254950693,772.099550906176,541.567398431231,441.735091430506,1059.67283240893,686.80411275971,479.988653546185,1332.24363450128,1335.27750321194,1756.73771225681,1879.99324049865,476.96231115597,1228.23663593201,1262.34129898818,1297.5422292975,1246.83887600603,676.583508951226,494.791231040421,1196.68531707772,1450.74630548146,819.385634771766,1953.03549892968,945.138140587776,579.000389107379,2193.91771952261,891.757820036612,598.805062493273,620.512985799352,1940.65520460877,450.818871967189,898.256378933875,997.329935356407,1706.21348756849,1324.80503725198,652.102040103317,997.564126836878,490.564619974684,1140.40599980275,963.839733711415,1380.57563913077,864.141995017999,779.464142858153,1685.29237411029,898.366139449659,454.427460938976,1765.83687582135,1849.9107634197,1204.3984172284,1633.17134029081,1302.47507133323,1318.54518746753,464.697601290325,1090.4204585203,1522.49709045926,417.891615193774,1292.51064303286,1487.77006253484,661.7294765189,2153.66538087101,1433.1404974992,668.339765319542,1119.31093140481,1145.37158720127,685.767153059118,1428.7095029278
795.818720115058,652.059685510918,511.285673300779,551.155456184948,1473.14415286557,1012.13849431524,1716.67113192892,872.431271670866,1926.76404484877,741.775549691505,521.036823892326,424.541857058968,1018.77207614992,661.112145442152,461.168616761643,1281.39391319531,1285.02960646492,1689.26384852987,1808.96270257965,458.216462108787,1181.58749280726,1215.02968260368,1247.52896277714,1200.0905229287,650.698004802456,476.095922408364,1150.60446662766,1394.86665100414,787.590749095325,1880.170030985,909.775613864709,556.915084546621,2113.29496628488,857.435167055795,576.148693282055,596.307545507414,1867.80248288321,432.988227449037,864.31112398782,959.920588023306,1640.39208332339,1274.12177641837,626.804377279375,959.560320702265,471.56053932575,1096.78838543544,927.194683532201,1328.78690659483,830.740772355362,749.942940326524,1622.07311216794,864.693171591382,436.579329996537,1699.09173098582,1779.34219369822,1158.05662634061,1572.97761611568,1253.1237914613,1269.68052051669,446.34140666802,1049.70883470261,1464.11041453034,401.327287407315,1242.25503135464,1432.14111192398,635.707210537279,2074.20419325578,1378.64855982612,642.681023541125,1076.83768670942,1100.86575986697,658.964906213921,1374.34072771289
761.169776357201,624.84344077963,489.858728521838,527.252835333675,1412.25089345151,968.393684301031,1642.81330792254,836.337697390278,1847.76187127095,709.408395701903,499.212326257322,406.325591218563,974.897199030893,633.787038715047,441.257940769457,1226.72889600373,1231.01738888508,1616.54587022998,1732.44303717391,438.394360903418,1131.46283203452,1164.20563706686,1193.73524735816,1149.93416847361,623.166820600614,456.257889724686,1101.07701204662,1334.72663290224,753.62941635192,1801.61378316735,871.950471073113,533.432279202301,2026.49909379656,820.695286757677,552.081303846811,570.508269908722,1789.36507243168,414.107069617196,827.969065071171,919.843403478386,1569.49433643298,1219.55601770669,599.853820453092,918.786885223904,451.425441808744,1049.94138041044,887.913970220863,1273.13631350608,794.97123134938,718.431240279373,1554.035693632,828.68134938796,417.729594883982,1627.2746105376,1703.26429088452,1108.34365601838,1508.28384983601,1200.06711241073,1217.11720026782,426.871303035048,1006.03751780001,1401.22934763979,383.791336832124,1188.23403236325,1372.35254823913,607.944961056884,1988.52620467145,1319.99777405328,615.313491071036,1031.29060795285,1053.0898886745,630.392819579691,1315.90518284425
725.01513231553,596.557974751704,467.654504075035,502.419171421614,1348.4646416858,922.657921126971,1565.24682972045,798.663303030698,1764.88540947015,675.681411593934,476.535371565915,387.448992679863,929.001246962071,605.381346474722,420.64982699485,1169.44876144164,1174.42036827368,1540.20853712564,1652.13057977299,417.885893001592,1078.95743506179,1110.97372181836,1137.34906791676,1097.45082132438,594.551357184988,435.672420565672,1049.19178125772,1271.65959868704,718.219663712953,1719.11257994,832.460330037589,509.029201587298,1935.43423340766,782.323945319309,527.086939616704,543.652951708653,1707.07210416929,394.552123466397,790.003637451169,877.953075889774,1495.10099668478,1162.31692387442,571.809356542595,876.126130527671,430.559878374537,1000.88744302958,846.842183365283,1214.8360797841,757.602181937575,685.585569582778,1482.6772252981,791.08960587412,398.245433471668,1551.96727729653,1623.37685184641,1056.33727519948,1440.49278576818,1144.46737741298,1162.00275708841,406.680608190611,960.343304462018,1335.25267104879,365.633396539757,1131.63848099769,1309.70666225854,579.026927049097,1898.53104077512,1258.48461955466,586.807415502626,983.651770757802,1003.08762135514,600.647829540932,1254.68307929243
688.104186527198,567.75908593231,445.098235787991,477.149151011865,1283.12442154923,875.892622838466,1485.65784805978,760.175926661061,1679.89100520615,641.285843061138,453.451698943791,368.277381308784,882.051310647206,576.452227656104,399.739239002549,1110.77298190209,1116.4375806437,1461.9058509501,1569.75364344218,397.083066857071,1025.18434827249,1056.45519660199,1079.57893675478,1043.73688833296,565.417640153406,414.73807047071,996.055007906631,1207.02168675255,682.087550156895,1634.44257018954,792.112691320654,484.187228477385,1842.03354373967,743.117753527476,501.653604093655,516.285500585269,1622.68439910709,374.702374975968,751.199117059747,835.116599065659,1418.81877463256,1103.63629335281,543.235633227319,832.474665717527,409.366608198943,950.665942788284,804.836704727742,1155.11698603065,719.412711733778,652.071390984915,1409.51915686554,752.686240436014,378.495308565507,1474.77663147374,1541.41115076182,1003.13293823901,1371.02949199735,1087.50622133138,1105.50502380625,386.1656321767,913.579087367747,1267.60313398167,347.204969203871,1073.68009364774,1245.52646271134,549.544472292677,1806.15193889439,1195.42713429073,557.739690599119,934.917131772047,951.92036369085,570.333209846605,1191.97447774441
651.163700116085,538.984896469687,422.600423862932,451.920915927854,1217.53416682444,829.031151264135,1405.69037423021,721.620911931343,1594.49035714252,606.891396935171,430.39243006405,349.163178015995,834.987748138272,547.53935973323,378.907127024868,1051.88902107344,1058.23647496526,1383.25017030851,1486.99531704988,376.363652685148,971.226799839642,1001.74189951998,1021.60158830263,989.859178751401,536.31352718026,393.840069841361,942.743719761624,1142.13405932834,645.937251030395,1549.33597453259,751.691992123611,459.372153717712,1748.18093286987,703.850147796838,476.253396188054,488.932311888093,1537.91630690041,354.923249877102,712.317317956578,792.176593035008,1342.20978693033,1044.71397061403,514.679280535071,788.704129319522,388.234544611332,900.288024071764,762.730757942467,1095.17758845098,681.159640149199,618.533527760155,1336.04405764712,714.217508241883,358.834294650573,1397.26812462971,1459.05483091963,949.794995453223,1301.28155675135,1030.33423880606,1048.76159678274,365.708764297939,866.673012225263,1199.66757214276,328.844982536502,1015.53772369484,1181.10015976224,520.070083427418,1713.27371244848,1132.10982636402,528.669167909466,886.055278314408,900.619712377782,540.033080364563,1129.04521319954
614.867421494477,510.733951128947,400.5407901988,427.176506526259,1152.90836914355,782.940384981266,1326.87615268628,683.691139405943,1510.27961099846,573.118213287802,407.756954615885,330.431891992514,788.684145075284,519.143076831504,358.50489118215,993.901750908481,1000.90407368027,1305.74318978956,1405.42437139258,356.076066401343,918.092834366777,947.850224177804,964.511825545036,936.810200252643,507.746229657831,373.335121557757,890.259521694199,1078.22618931904,610.421388401854,1465.40818834581,711.927171977411,435.015283044675,1655.63303510184,665.239081208565,451.32352437685,462.080749583489,1454.36565809479,335.551807214586,674.066168598525,749.916602050755,1266.74598430924,986.667308942298,486.646369841023,745.625045041495,367.522916962902,850.694163834487,721.29885421833,1036.13371998345,643.545408212813,585.570422880221,1263.63309660647,676.376757273349,339.589684002538,1320.899464966,1377.88049116964,897.312700991446,1232.54206235055,974.022477743085,992.83298889939,345.663013866913,820.486306684936,1132.73719708066,310.865951286643,958.307522374263,1117.62741172017,491.133807231061,1621.65508912029,1069.72872504852,500.113883442376,837.966613843542,850.144334964527,510.288151829547,1067.07306165916
579.812663680015,483.448993853119,379.255176684776,403.306949519851,1090.33112301108,738.390157290036,1250.58029473596,647.002299953383,1428.68568317316,540.515683217513,385.899107818033,312.370869882652,743.916957766211,491.70816113922,338.842990072335,937.795020826859,945.409378140728,1230.7230085062,1326.43976666528,336.528043730039,866.680092610302,895.686250536106,909.283834873058,885.474503237099,480.165679389582,353.539025501581,839.493433884796,1016.39260819764,576.118847469756,1384.10186798836,673.467299984201,411.499172506243,1565.96026539846,627.922261995031,427.252082475112,436.161733713969,1373.45708862282,316.885564810887,637.075454395148,709.034407050756,1193.71931736075,930.489524995457,459.585339407029,703.957223588324,347.549573830052,802.721125158772,681.229859840576,978.980289214378,607.193747571262,553.713783181054,1193.51860368444,639.781182199586,321.050478504512,1246.97049629039,1299.2902264361,846.56420700693,1165.96613857875,919.525153115886,938.663950215123,326.339513044208,775.787727456976,1067.96209581078,293.54361325215,902.963892001324,1056.17842040514,463.204251759889,1532.86801522769,1009.34953901243,472.532297853031,791.45257086381,801.344864706436,481.57736247596,1007.10708969664
